亜,S,2.5,sub-,ア
哀,S,3,pathetic,"アイ,あわ-れ,あわ-れむ"
挨,S,2,push open,アイ
曖,S,2,not clear,アイ
握,S,4,grip,"アク,にぎ-る"
扱,S,4,handle,あつか-う
宛,S,2,allocate,あ-てる
嵐,S,2,storm,あらし
依,S,4,reliant,"イ,（エ）"
威,S,4,intimidate,イ
為,S,4,do,イ
畏,S,2,fear,"イ,おそ-れる"
尉,S,2.5,military officer,イ
萎,S,2,wither,"イ,な-える"
偉,S,4,admirable,"イ,えら-い"
椅,S,2,chair,イ
彙,S,2,same kind,イ
違,S,4,differ,"イ,ちが-う,ちが-える"
維,S,4,fiber,イ
慰,S,3,consolation,"イ,なぐさ-める,なぐさ-む"
緯,S,4,horizontal,イ
壱,S,4,one (archaic),イチ
逸,S,2.5,deviate,イツ
茨,S,2,thorn,（いばら）
芋,S,4,potato,いも
咽,S,2,throat,イン
姻,S,2.5,matrimony,イン
淫,S,2,lewdness,"イン,みだ-ら"
陰,S,4,shade,"イン,かげ,かげ-る"
隠,S,4,conceal,"イン,かく-す,かく-れる"
韻,S,2.5,rhyme,イン
唄,S,2,songs with shamisen,（うた）
鬱,S,2,gloom,ウツ
畝,S,2.5,furrow,うね
浦,S,2.5,bay,うら
詠,S,3,recitation,"エイ,よ-む"
影,S,4,shadow,"エイ,かげ"
鋭,S,4,pointed,"エイ,するど-い"
疫,S,2.5,epidemic,"エキ,（ヤク）"
悦,S,3,ecstasy,エツ
越,S,4,cross over,"エツ,こ-す,こ-える"
謁,S,2.5,audience,エツ
閲,S,3,review,エツ
炎,S,3,inflammation,"エン,ほのお"
怨,S,2,grudge,"エン,オン"
宴,S,3,banquet,エン
媛,S,2,princess,エン
援,S,4,aid,エン
煙,S,4,smoke,"エン,けむ-る,けむり,けむ-い"
猿,S,2.5,monkey,"エン,さる"
鉛,S,4,lead,"エン,なまり"
縁,S,4,affinity,"エン,ふち"
艶,S,2,glossy,"エン,つや"
汚,S,4,dirty,"オ,けが-す,けが-れる,けが-らわしい,よご-す,よご-れる,きたな-い"
凹,S,2.5,concave,オウ
押,S,4,push,"オウ,お-す,お-さえる"
旺,S,2,flourishing,オウ
欧,S,3,Europe,オウ
殴,S,3,assault,"オウ,なぐ-る"
翁,S,2.5,venerable old man,オウ
奥,S,4,heart,"オウ,おく"
岡,S,2,hill,（おか）
憶,S,4,recollection,オク
臆,S,2,timidity,オク
虞,S,2.5,uneasiness,おそれ
乙,S,3,the latter,オツ
俺,S,2,"I, we",おれ
卸,S,3,wholesale,"おろ-す,おろし"
穏,S,3,calm,"オン,おだ-やか"
佳,S,3,excellent,カ
苛,S,2,torment,カ
架,S,3,rack,"カ,か-ける,か-かる"
華,S,3,splendor,"カ,（ケ）,はな"
菓,S,4,confectionery,カ
渦,S,2.5,whirlpool,"カ,うず"
嫁,S,3,marry into,"カ,よめ,とつ-ぐ"
暇,S,4,spare time,"カ,ひま"
禍,S,2.5,calamity,カ
靴,S,2.5,shoes,"カ,くつ"
寡,S,2.5,widow,カ
箇,S,4,counters for things,カ
稼,S,2.5,earnings,"カ,かせ-ぐ"
蚊,S,2.5,mosquito,か
牙,S,2,tusk,"ガ,（ゲ）,きば"
瓦,S,2,tile,"ガ,かわら"
雅,S,4,gracious,ガ
餓,S,3,starve,ガ
介,S,4,jammed in,カイ
戒,S,4,commandment,"カイ,いまし-める"
怪,S,3,suspicious,"カイ,あや-しい,あや-しむ"
拐,S,2.5,kidnap,カイ
悔,S,3,repent,"カイ,く-いる,く-やむ,くや-しい"
皆,S,4,all,"カイ,みな"
塊,S,3,clod,"カイ,かたまり"
楷,S,2,square character style,カイ
潰,S,2,crush,"カイ,つぶ-す,つぶ-れる"
壊,S,4,demolition,"カイ,こわ-す,こわ-れる"
懐,S,2.5,pocket,"カイ,ふところ,なつ-かしい,なつ-かしむ,なつ-く,なつ-ける"
諧,S,2,harmony,カイ
劾,S,2.5,censure,ガイ
崖,S,2,cliff,"ガイ,がけ"
涯,S,2.5,horizon,ガイ
慨,S,3,rue,ガイ
蓋,S,2,cover,"ガイ,ふた"
該,S,3,above-stated,ガイ
概,S,3,outline,ガイ
骸,S,2,dead remains,ガイ
垣,S,2.5,hedge,かき
柿,S,2,persimmon,かき
核,S,2.5,nucleus,カク
殻,S,2.5,husk,"カク,から"
郭,S,3,enclosure,カク
較,S,4,contrast,カク
隔,S,3,isolate,"カク,へだ-てる,へだ-たる"
獲,S,4,seize,"カク,え-る"
嚇,S,2.5,menacing,カク
穫,S,3,harvest,カク
岳,S,3,point,"ガク,たけ"
顎,S,2,jaw,"ガク,あご"
掛,S,3,hang,"か-ける,か-かる,かかり"
潟,S,2.5,lagoon,かた
括,S,2.5,fasten,カツ
喝,S,2.5,hoarse,カツ
渇,S,2.5,thirst,"カツ,かわ-く"
葛,S,2,arrowroot,"カツ,くず"
滑,S,3,slippery,"カツ,コツ,すべ-る,なめ-らか"
褐,S,2.5,brown,カツ
轄,S,2.5,control,カツ
且,S,2.5,moreover,か-つ
釜,S,2,kettle,かま
鎌,S,2,sickle,かま
刈,S,4,reap,か-る
甘,S,4,sweet,"カン,あま-い,あま-える,あま-やかす"
汗,S,4,sweat,"カン,あせ"
缶,S,2.5,tin can,カン
肝,S,3,liver,"カン,きも"
冠,S,3,crown,"カン,かんむり"
陥,S,2.5,collapse,"カン,おちい-る,おとしい-れる"
乾,S,4,dry,"カン,かわ-く,かわ-かす"
勘,S,3,intuition,カン
患,S,2.5,afflicted,"カン,わずら-う"
貫,S,3,pierce,"カン,つらぬ-く"
喚,S,3,yell,カン
堪,S,2.5,withstand,"カン,た-える"
換,S,3,interchange,"カン,か-える,か-わる"
敢,S,3,daring,カン
棺,S,2.5,coffin,カン
款,S,2.5,goodwill,カン
閑,S,2.5,leisure,カン
勧,S,4,persuade,"カン,すす-める"
寛,S,2.5,tolerant,カン
歓,S,4,delight,カン
監,S,4,oversee,カン
緩,S,3,slacken,"カン,ゆる-い,ゆる-やか,ゆる-む,ゆる-める"
憾,S,2.5,remorse,カン
還,S,2.5,send back,カン
環,S,4,ring,カン
韓,S,2,Korea,カン
艦,S,2.5,warship,カン
鑑,S,4,specimen,"カン,かんが-みる"
含,S,4,include,"ガン,ふく-む,ふく-める"
玩,S,2,trifle with,ガン
頑,S,2.5,stubborn,ガン
企,S,3,plan,"キ,くわだ-てる"
伎,S,2,deed,キ
岐,S,3,branch off,キ
忌,S,3,mourning,"キ,い-む,い-まわしい"
奇,S,4,strange,キ
祈,S,4,pray,"キ,いの-る"
軌,S,3,rut,キ
既,S,3,previously,"キ,すで-に"
飢,S,2.5,hungry,"キ,う-える"
鬼,S,4,ghost,"キ,おに"
亀,S,2,turtle,"キ,かめ"
幾,S,4,how many,"キ,いく"
棋,S,3,chess piece,キ
棄,S,3,abandon,キ
毀,S,2,destroy,キ
畿,S,2,capital,キ
輝,S,4,radiance,"キ,かがや-く"
騎,S,3,equestrian,キ
宜,S,2.5,best regards,ギ
偽,S,2.5,falsehood,"ギ,いつわ-る,にせ"
欺,S,3,deceit,"ギ,あざむ-く"
儀,S,4,ceremony,ギ
戯,S,4,frolic,"ギ,たわむ-れる"
擬,S,2.5,mimic,ギ
犠,S,3,sacrifice,ギ
菊,S,3,chrysanthemum,キク
吉,S,3,good luck,"キチ,キツ"
喫,S,3,consume,キツ
詰,S,4,packed,"キツ,つ-める,つ-まる,つ-む"
却,S,4,instead,キャク
脚,S,4,leg,"キャク,（キャ）,あし"
虐,S,3,tyrannize,"ギャク,しいた-げる"
及,S,4,reach out,"キュウ,およ-ぶ,およ-び,およ-ぼす"
丘,S,4,hill,"キュウ,おか"
朽,S,4,decay,"キュウ,く-ちる"
臼,S,2,mortar,"キュウ,うす"
糾,S,2.5,twist,キュウ
嗅,S,2,smell,"キュウ,か-ぐ"
窮,S,2.5,hard up,"キュウ,きわ-める,きわ-まる"
巨,S,4,gigantic,キョ
拒,S,2.5,repel,"キョ,こば-む"
拠,S,4,foothold,"キョ,コ"
虚,S,3,void,"キョ,（コ）"
距,S,4,long-distance,キョ
御,S,4,honorable,"ギョ,ゴ,おん"
凶,S,4,villain,キョウ
叫,S,4,shout,"キョウ,さけ-ぶ"
狂,S,4,lunatic,"キョウ,くる-う,くる-おしい"
享,S,2.5,receive,キョウ
況,S,4,condition,キョウ
峡,S,3,gorge,キョウ
挟,S,2.5,pinch,"キョウ,はさ-む,はさ-まる"
狭,S,4,cramped,"キョウ,せま-い,せば-める,せば-まる"
恐,S,4,fear,"キョウ,おそ-れる,おそ-ろしい"
